name	self_contained	abs_clusters	residual_class	ours_st	ours_t	base_st	base_t	full_nodes	residual_nodes	n_oxidd	n_ltlsynt
01.tlsf	0	0	liveness (F/U/GF/Buchi)					332	332	0	1
02.tlsf	0	0	liveness (F/U/GF/Buchi)					802	802	0	1
03.tlsf	0	0	liveness (F/U/GF/Buchi)					2760	2760	0	1
05.tlsf	0	0	liveness (F/U/GF/Buchi)					4859	4859	0	1
06.tlsf	0	0	liveness (F/U/GF/Buchi)					5673	5673	0	1
07.tlsf	0	0	liveness (F/U/GF/Buchi)					5292	5292	0	1
08.tlsf	0	0	liveness (F/U/GF/Buchi)					7068	7068	0	1
09.tlsf	0	0	liveness (F/U/GF/Buchi)					6067	6067	0	1
10.tlsf	0	0	liveness (F/U/GF/Buchi)					5943	5943	0	1
11.tlsf	0	0	liveness (F/U/GF/Buchi)					5778	5778	0	1
12.tlsf	0	0	liveness (F/U/GF/Buchi)					6735	6735	0	1
13.tlsf	0	0	liveness (F/U/GF/Buchi)					6642	6642	0	1
ActionConverter.tlsf	1	2	(none / unrealizable verdict)	SOLVED	0.06664471700787544	SOLVED	0.02504999900702387	86	0	2	0
AlarmMin_efe2feaf.tlsf	0	0	liveness (F/U/GF/Buchi)					41	41	0	1
Alarm_06e9cad4.tlsf	0	0	liveness (F/U/GF/Buchi)					180	180	0	1
Alarm_2d1010f8.tlsf	0	0	liveness (F/U/GF/Buchi)					64	64	0	1
Alarm_68c86764.tlsf	0	0	liveness (F/U/GF/Buchi)					168	168	0	1
Alarm_70523fbe.tlsf	0	0	liveness (F/U/GF/Buchi)					150	150	0	1
Alarm_88c5c1c3.tlsf	0	0	liveness (F/U/GF/Buchi)					131	131	0	1
Alarm_9cac58d3.tlsf	0	0	liveness (F/U/GF/Buchi)					140	140	0	1
Alarm_a5f99bc6.tlsf	0	0	liveness (F/U/GF/Buchi)					169	169	0	1
Alarm_f2774e0b.tlsf	0	0	liveness (F/U/GF/Buchi)					146	146	0	1
AllHeating_d6376bf9.tlsf	0	0	liveness (F/U/GF/Buchi)					82	82	0	1
AllLights_06e9cad4.tlsf	0	0	liveness (F/U/GF/Buchi)					228	228	0	1
AllLights_2c5b09da.tlsf	0	0	liveness (F/U/GF/Buchi)					241	241	0	1
AllLights_63831f8c.tlsf	0	0	liveness (F/U/GF/Buchi)					222	222	0	1
AllLights_aeb1d897.tlsf	0	0	liveness (F/U/GF/Buchi)					243	243	0	1
AllLights_b209ff21.tlsf	0	0	liveness (F/U/GF/Buchi)					228	228	0	1
AllLights_d6c5ac79.tlsf	0	0	liveness (F/U/GF/Buchi)					241	241	0	1
AllShades_66f450a4.tlsf	0	0	liveness (F/U/GF/Buchi)					244	244	0	1
Assumptions_a50cadd7.tlsf	0	1	(none / unrealizable verdict)	UNREAL	0.046766815008595586	UNREAL	0.02451113300048746	37	0	1	0
Automata.tlsf	1	1	(none / unrealizable verdict)	SOLVED	0.12025447600171901	SOLVED	0.028487739007687196	292	0	1	0
Automata16S.tlsf	0	0	W/R safety not yet handled					536	536	0	1
Automata32S.tlsf	0	0	W/R safety not yet handled					1052	1052	0	1
Button.tlsf	1	2	(none / unrealizable verdict)	SOLVED	0.07288030500058085	SOLVED	0.022537467011716217	25	0	2	0
CheckAlarmBroken1_1a2942e3.tlsf	0	0	liveness (F/U/GF/Buchi)					38	38	0	1
CheckAlarm_6bea956e.tlsf	0	0	liveness (F/U/GF/Buchi)					40	40	0	1
CheckCoffeMachineBroken1_a5f99bc6.tlsf	0	0	liveness (F/U/GF/Buchi)					110	110	0	1
CheckCoffeMachine_3461125b.tlsf	0	0	liveness (F/U/GF/Buchi)					110	110	0	1
CheckCoffeMachine_f3987563.tlsf	0	0	liveness (F/U/GF/Buchi)					115	115	0	1
CheckDoor_c2b9e44d.tlsf	0	0	liveness (F/U/GF/Buchi)					45	45	0	1
CheckHeating_2418b67e.tlsf	0	0	liveness (F/U/GF/Buchi)					45	45	0	1
CheckHeating_3461125b.tlsf	0	0	liveness (F/U/GF/Buchi)					45	45	0	1
CheckLight_007df645.tlsf	0	0	liveness (F/U/GF/Buchi)					70	70	0	1
CheckLight_aeb1d897.tlsf	0	0	liveness (F/U/GF/Buchi)					70	70	0	1
CheckRoom_06e9cad4.tlsf	1	0	(none / unrealizable verdict)					0	0	0	0
CheckRoom_2c5b09da.tlsf	1	0	(none / unrealizable verdict)					0	0	0	0
CheckRoom_3916ec59.tlsf	1	0	(none / unrealizable verdict)					0	0	0	0
CheckRoom_70523fbe.tlsf	1	0	(none / unrealizable verdict)					0	0	0	0
CheckShades_1a2942e3.tlsf	0	0	liveness (F/U/GF/Buchi)					53	53	0	1
CheckShades_3461125b.tlsf	0	0	liveness (F/U/GF/Buchi)					53	53	0	1
CheckShades_4d4ca5c4.tlsf	0	0	liveness (F/U/GF/Buchi)					46	46	0	1
CheckShades_aeb1d897.tlsf	0	0	liveness (F/U/GF/Buchi)					71	71	0	1
CheckTime_3916ec59.tlsf	1	0	(none / unrealizable verdict)					0	0	0	0
CheckTime_4b5e6eaa.tlsf	1	0	(none / unrealizable verdict)					0	0	0	0
CheckTime_54e1f7d2.tlsf	1	0	(none / unrealizable verdict)					0	0	0	0
CheckTimer_54e1f7d2.tlsf	0	0	liveness (F/U/GF/Buchi)					52	52	0	1
CheckTimer_fa8592c8.tlsf	0	0	liveness (F/U/GF/Buchi)					52	52	0	1
CheckWarnlightBroken1_70523fbe.tlsf	0	0	liveness (F/U/GF/Buchi)					43	43	0	1
CheckWarnlight_1cf58fc1.tlsf	0	0	liveness (F/U/GF/Buchi)					45	45	0	1
CheckWarnlight_4b5a2bad.tlsf	0	0	liveness (F/U/GF/Buchi)					45	45	0	1
CheckWarnlight_54e1f7d2.tlsf	0	0	liveness (F/U/GF/Buchi)					45	45	0	1
CheckWarnlight_6bea956e.tlsf	0	0	liveness (F/U/GF/Buchi)					45	45	0	1
CheckWindows_54e1f7d2.tlsf	1	0	(none / unrealizable verdict)					0	0	0	0
Cockpitboard.tlsf	1	8	(none / unrealizable verdict)	SOLVED	0.20846773197990842	SOLVED	0.027551458013476804	180	0	8	0
Cockpitboard_efe2feaf.tlsf	1	8	(none / unrealizable verdict)	SOLVED	0.20867979401373304	SOLVED	0.02509009197819978	180	0	8	0
CoffeMachine_974f4a68.tlsf	0	0	liveness (F/U/GF/Buchi)					138	138	0	1
CoffeMachine_a50cadd7.tlsf	0	0	liveness (F/U/GF/Buchi)					75	75	0	1
CoffeeMin_88f351a6.tlsf	0	0	liveness (F/U/GF/Buchi)					57	57	0	1
