name	rc_off	rc_ms
amba_case_study.tlsf	1	1
amba_case_study_unreal.tlsf	1	1
amba_decomposed_decode.tlsf	0	0
amba_decomposed_shift.tlsf	0	0
amba_decomposed_tburst4.tlsf	1	1
amba_decomposed_tincr.tlsf	0	0
amba_decomposed_tsingle.tlsf	1	1
amba_decomposed_arbiter.tlsf	1	1
amba_decomposed_encode.tlsf	0	0
amba_decomposed_lock.tlsf	0	0
amba_gr+_pb_10_pe_.tlsf	1	1
amba_gr+_pb_11_pe_.tlsf	1	1
amba_gr+_pb_12_pe_.tlsf	1	1
amba_gr+_pb_2_pe_.tlsf	1	1
amba_gr+_pb_3_pe_.tlsf	1	1
amba_gr+_pb_4_pe_.tlsf	1	1
amba_gr+_pb_5_pe_.tlsf	1	1
amba_gr+_pb_6_pe_.tlsf	1	1
amba_gr+_pb_7_pe_.tlsf	1	1
amba_gr+_pb_8_pe_.tlsf	1	1
amba_gr+_pb_9_pe_.tlsf	1	1
amba_gr_pb_10_pe_.tlsf	1	1
amba_gr_pb_11_pe_.tlsf	1	1
amba_gr_pb_12_pe_.tlsf	1	1
amba_gr_pb_2_pe_.tlsf	0	0
amba_gr_pb_3_pe_.tlsf	1	1
amba_gr_pb_4_pe_.tlsf	1	1
amba_gr_pb_5_pe_.tlsf	1	1
amba_gr_pb_6_pe_.tlsf	1	1
amba_gr_pb_7_pe_.tlsf	1	1
amba_gr_pb_8_pe_.tlsf	1	1
amba_gr_pb_9_pe_.tlsf	1	1
example10.tlsf	1	1
example10a.tlsf	1	1
example7.tlsf	0	0
example7a.tlsf	0	0
example8.tlsf	0	0
example9.tlsf	1	1
abcg_arbiter.tlsf	1	1
arbiter.tlsf	1	1
arbiter_on_inpchange.tlsf	1	1
arbiter_with_buffer.tlsf	1	1
arbiter_with_cancel.tlsf	1	1
rw_arbiter.tlsf	1	1
chomp.tlsf	1	1
collector_v1.tlsf	1	1
collector_v2.tlsf	1	1
collector_v3.tlsf	1	1
full_arbiter.tlsf	1	1
full_arbiter_enc.tlsf	1	1
full_arbiter_unreal1.tlsf	1	1
full_arbiter_unreal2.tlsf	1	1
generalized_buffer.tlsf	1	1
01.tlsf	1	1
02.tlsf	1	1
03.tlsf	1	1
05.tlsf	1	1
06.tlsf	1	1
07.tlsf	1	1
08.tlsf	1	1
09.tlsf	1	1
10.tlsf	1	1
11.tlsf	1	1
12.tlsf	1	1
13.tlsf	1	1
lift.tlsf	1	1
lift_gr1+.tlsf	1	1
lift_gr1.tlsf	1	1
lift_unary_enc.tlsf	1	1
lift_wrong_physics_unreal.tlsf	1	1
lilydemo01.tlsf	1	1
lilydemo02.tlsf	1	1
lilydemo03.tlsf	1	1
lilydemo04.tlsf	1	1
lilydemo04_modified.tlsf	1	1
lilydemo05.tlsf	1	1
lilydemo06.tlsf	1	1
lilydemo07.tlsf	1	1
lilydemo08.tlsf	0	0
lilydemo09.tlsf	1	1
lilydemo10.tlsf	1	1
lilydemo11.tlsf	1	1
lilydemo12.tlsf	1	1
lilydemo13.tlsf	1	1
lilydemo14.tlsf	1	1
lilydemo15.tlsf	1	1
lilydemo16.tlsf	1	1
lilydemo17.tlsf	1	1
lilydemo18.tlsf	1	1
lilydemo19.tlsf	1	1
lilydemo20.tlsf	1	1
lilydemo21.tlsf	0	0
lilydemo22.tlsf	1	1
lilydemo23.tlsf	1	1
load_balancer.tlsf	1	1
